Track name,Artist name,Album,Tempo,Key,Source,Energy,Vibe
Golden Hour,June & the Latches,Porch Light,98,C,getsongbpm,2,sunshine
Diesel Heart,The Flare Stacks,Boomtown,174,Em,getsongbpm,5,barreling
Sleepy Marigold,Ada Plum,Seedlings,87,G,getsongbpm,1,drowsy
Company Store,Val Hollows,Ledger Lines,112,Am,getsongbpm,3,brooding
Tin Roof Rain,June & the Latches,Porch Light,104,F,getsongbpm,2,patter
Peak Bloom,DJ Kimbo,Garden Cuts,124,A,getsongbpm,5,floor-filler
Sixteen Wheels,The Flare Stacks,Boomtown,148,Bm,getsongbpm,4,swagger
Cold Frame,Ada Plum,Seedlings,,Dm,getsongbpm,2,hushed
Sprinkler Season,DJ Kimbo,Garden Cuts,120,D,getsongbpm,4,bounce
Root Cellar,Val Hollows,Ledger Lines,96,,getsongbpm,3,dusty
Hummingbird Feint,Marla Q,Nectar,118,F#m,getsongbpm,3,flutter
Last Slice,Marla Q,Nectar,101,Ebm,getsongbpm,2,waltzy
